,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,radar_group6,radar_group6,radar_group6,radar_group6,radar_group6,radar_group6,radar_group6,Unlabeled 2027,Unlabeled 2027,Unlabeled 2027,Unlabeled 2028,Unlabeled 2028,Unlabeled 2028,Unlabeled 2031,Unlabeled 2031,Unlabeled 2031,Unlabeled 2038,Unlabeled 2038,Unlabeled 2038,Unlabeled 2039,Unlabeled 2039,Unlabeled 2039,Unlabeled 2045,Unlabeled 2045,Unlabeled 2045,radar_group6:Marker1,radar_group6:Marker1,radar_group6:Marker1,radar_group6:Marker2,radar_group6:Marker2,radar_group6:Marker2,radar_group6:Marker3,radar_group6:Marker3,radar_group6:Marker3
,ID,"46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","113130","113130","113130","113060","113060","113060","113180","113180","113180","113200","113200","113200","113210","113210","113210","113420","113420","113420","113100","113100","113100","1130F0","1130F0","1130F0","917C27FBAE5211E97C158CA05683D95","917C27FBAE5211E97C158CA05683D95","917C27FBAE5211E97C158CA05683D95"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
28,0.077778,0.001102,0.002421,-0.001591,-0.999995,-5.052294,1.794988,0.662130,,,,,,,,,,,,,,,,,,,-4.954816,1.786205,0.782280,-4.958363,1.786330,0.543672,-5.242338,1.813450,0.660248
29,0.080556,0.001824,0.002584,-0.001070,-0.999994,-5.052208,1.794934,0.662070,,,,,,,,,,,,,,,,,,,-4.954801,1.786241,0.782301,-4.958321,1.786353,0.543671,-5.242233,1.813591,0.660098
30,0.083333,0.001679,0.003014,-0.000531,-0.999994,-5.052170,1.795039,0.661919,,,,,,,,,,,,,,,,,,,-4.954826,1.786160,0.782257,-4.958330,1.786366,0.543679,-5.242172,1.813901,0.659790
31,0.086111,0.000826,0.002239,-0.001677,-0.999996,-5.052293,1.795018,0.662108,,,,,,,,,,,,,,,,,,,-4.954799,1.786224,0.782291,-4.958414,1.786506,0.543865,-5.242341,1.813448,0.660306
32,0.088889,0.003544,0.001366,-0.002347,-0.999990,-5.052376,1.794286,0.662656,,,,,,,,,,,,,,,,,,,-4.954872,1.786135,0.782271,-4.958355,1.784310,0.545838,-5.242451,1.812455,0.661084
33,0.091667,0.001957,0.000528,-0.003133,-0.999993,-5.052015,1.794556,0.662749,,,,,,,,,,,,,,,,,,,-4.954817,1.786214,0.782283,-4.958321,1.786405,0.543642,-5.242121,1.812431,0.661555
34,0.094444,0.002101,0.000347,-0.003823,-0.999990,-5.052001,1.794408,0.662821,,,,,,,,,,,,,,,,,,,-4.954843,1.786247,0.782284,-4.958361,1.786350,0.543713,-5.242132,1.812020,0.661691
35,0.097222,0.004637,0.001250,-0.002045,-0.999986,-5.052139,1.794146,0.662741,,,,,,,,,,,,,,,,,,,-4.954841,1.786236,0.782245,-4.958400,1.784332,0.545850,-5.242204,1.812427,0.661172
36,0.100000,0.004628,0.002999,0.000186,-0.999985,-5.052217,1.794575,0.662189,,,,,,,,,,,,,,,,,,,-4.954825,1.786307,0.782309,-4.958382,1.784356,0.545869,-5.242192,1.813701,0.659952
37,0.102778,0.001401,0.002744,-0.001399,-0.999994,-5.052194,1.794686,0.662089,,,,,,,,,,,,,,,,,,,-4.955848,1.785556,0.781784,-4.958346,1.786286,0.543673,-5.242230,1.813220,0.660073
