Format Version,1.23,Take Name,group6_trial_002,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-07-24 04.17.24.871 PM,Total Frames in Take,1827,Total Exported Frames,1827,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.044444,-0.006895,-0.528812,-0.112919,0.841165,2.328444,0.040498,1.037637,,,,-4.954921,1.784808,0.785362,-4.958108,1.787797,0.544731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.189775,0.046281,1.274765,2.353072,0.040329,0.993982,2.441276,0.035688,0.842465
17,0.047222,0.000333,-0.525409,0.115491,0.842975,2.328395,0.040656,1.037595,,,,-4.954772,1.786656,0.783146,-4.958755,1.784508,0.546800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.189746,0.046326,1.274796,2.353067,0.039855,0.994174,2.441260,0.035666,0.842425
18,0.050000,0.033183,-0.171644,0.936990,0.302469,2.328636,0.039975,1.037658,,,,-4.954760,1.786604,0.783201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.193203,0.043897,1.276658,2.353910,0.039163,0.992209,2.439429,0.037691,0.842710
19,0.052778,0.010454,-0.472498,0.432377,0.767910,2.328448,0.040413,1.037631,-5.240542,1.812224,0.665058,,,,-4.958722,1.784574,0.546785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.189091,0.046742,1.274587,2.353919,0.039050,0.992271,2.442564,0.034906,0.845274
20,0.055556,-0.000486,-0.527575,0.078936,0.845833,2.328372,0.040114,1.037665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.189657,0.046439,1.274782,2.352933,0.039132,0.994229,2.441271,0.035703,0.842437
21,0.058333,0.029776,-0.064880,0.988011,0.136886,2.329210,0.040409,1.038075,,,,-4.954774,1.786525,0.783206,-4.958847,1.784469,0.547950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.189721,0.046440,1.274804,2.355596,0.038601,0.993660,2.444193,0.035862,0.843999
22,0.061111,0.032565,0.051818,0.996873,-0.049980,2.328594,0.040290,1.037986,,,,-4.954735,1.786523,0.783186,-4.958554,1.784067,0.548389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.189027,0.046784,1.274517,2.355437,0.038859,0.994546,2.439477,0.037305,0.842935
23,0.063889,0.033558,0.023177,0.999160,-0.003980,2.328261,0.040269,1.037707,,,,-4.954895,1.784740,0.785391,-4.958816,1.784552,0.547965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.189800,0.046402,1.274779,2.352828,0.039108,0.994258,2.439457,0.037401,0.842851
24,0.066667,0.033316,0.002286,0.999018,0.029123,2.328095,0.040647,1.037419,-5.240571,1.812213,0.665004,-4.954984,1.786438,0.782787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.189738,0.046376,1.274799,2.353943,0.039177,0.992338,2.439523,0.037580,0.842684
25,0.069444,0.028422,-0.173244,0.935131,0.307749,2.328675,0.040409,1.037817,-5.240596,1.812200,0.665093,-4.954717,1.786574,0.783203,-4.958826,1.784498,0.547904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.189712,0.046442,1.274815,2.353968,0.039157,0.992350,2.442388,0.035205,0.845348
