,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,left_reflector,left_reflector,left_reflector,left_reflector,left_reflector,left_reflector,left_reflector,right_reflector,right_reflector,right_reflector,right_reflector,right_reflector,right_reflector,right_reflector,Unlabeled 1057,Unlabeled 1057,Unlabeled 1057,right_reflector:Marker1,right_reflector:Marker1,right_reflector:Marker1,right_reflector:Marker2,right_reflector:Marker2,right_reflector:Marker2,right_reflector:Marker3,right_reflector:Marker3,right_reflector:Marker3
,ID,"210201CFB48C11E97C158CA05683E95","210201CFB48C11E97C158CA05683E95","210201CFB48C11E97C158CA05683E95","210201CFB48C11E97C158CA05683E95","210201CFB48C11E97C158CA05683E95","210201CFB48C11E97C158CA05683E95","210201CFB48C11E97C158CA05683E95","6343BDF9B48C11E97C158CA05683E95","6343BDF9B48C11E97C158CA05683E95","6343BDF9B48C11E97C158CA05683E95","6343BDF9B48C11E97C158CA05683E95","6343BDF9B48C11E97C158CA05683E95","6343BDF9B48C11E97C158CA05683E95","6343BDF9B48C11E97C158CA05683E95","CEDD0","CEDD0","CEDD0","CEAA0","CEAA0","CEAA0","CEAB0","CEAB0","CEAB0","CEA90","CEA90","CEA90"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
30,0.083333,,,,,,,,-0.001465,0.000398,0.002213,-0.999996,3.317743,0.006369,0.956143,3.176513,0.008051,0.942953,3.303643,-0.000722,0.750521,3.476983,0.013318,0.931797,3.170500,0.007251,1.187369
31,0.086111,,,,,,,,-0.002928,0.000830,0.003649,-0.999989,3.317998,0.006557,0.956056,,,,3.303646,-0.000626,0.750496,3.476992,0.013284,0.931813,3.170549,0.007191,1.187362
32,0.088889,,,,,,,,-0.002473,0.000916,0.003892,-0.999989,3.317988,0.006638,0.956018,3.176384,0.007258,0.943047,3.303630,-0.000694,0.750473,3.476967,0.013317,0.931799,3.170461,0.007474,1.187265
33,0.091667,,,,,,,,-0.003147,0.000911,0.005967,-0.999977,3.317851,0.006361,0.956116,3.176366,0.007287,0.942884,3.303549,-0.000659,0.750533,3.477885,0.011205,0.931672,3.170495,0.007348,1.187264
34,0.094444,,,,,,,,-0.002769,0.000803,0.003807,-0.999989,3.317907,0.006642,0.956056,3.176310,0.007360,0.942891,3.303668,-0.000628,0.750528,3.477914,0.012159,0.931576,3.170507,0.007199,1.187296
35,0.097222,,,,,,,,-0.002336,0.000695,0.003503,-0.999991,3.317950,0.006677,0.956022,,,,3.303594,-0.000664,0.750397,3.476873,0.013454,0.931778,3.170494,0.007430,1.187383
36,0.100000,,,,,,,,-0.002945,0.001010,0.004424,-0.999985,3.318134,0.006473,0.956130,,,,3.303691,-0.000631,0.750504,3.478381,0.012172,0.932370,3.170521,0.007313,1.187361
37,0.102778,,,,,,,,-0.003942,0.001377,0.005208,-0.999978,3.318310,0.006868,0.956286,,,,3.305021,0.001902,0.749382,3.478360,0.011993,0.932002,3.170580,0.007349,1.187378
38,0.105556,,,,,,,,-0.000994,0.000100,0.002268,-0.999997,3.317487,0.006407,0.956001,3.176426,0.007076,0.942988,3.303643,-0.000640,0.750390,3.476107,0.013681,0.931374,3.170528,0.007229,1.187276
39,0.108333,,,,,,,,-0.000379,-0.000076,0.001747,-0.999998,3.317385,0.006397,0.956119,3.176384,0.007196,0.942949,3.303617,-0.000648,0.750516,3.477324,0.012455,0.931328,3.170454,0.007376,1.187420
