,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,radar_group6,radar_group6,radar_group6,radar_group6,radar_group6,radar_group6,radar_group6,Unlabeled 1968,Unlabeled 1968,Unlabeled 1968,Unlabeled 1969,Unlabeled 1969,Unlabeled 1969,Unlabeled 1970,Unlabeled 1970,Unlabeled 1970,Unlabeled 1971,Unlabeled 1971,Unlabeled 1971,Unlabeled 1974,Unlabeled 1974,Unlabeled 1974,Unlabeled 1976,Unlabeled 1976,Unlabeled 1976,Unlabeled 1978,Unlabeled 1978,Unlabeled 1978,Unlabeled 1979,Unlabeled 1979,Unlabeled 1979,Unlabeled 1980,Unlabeled 1980,Unlabeled 1980,Unlabeled 1981,Unlabeled 1981,Unlabeled 1981,radar_group6:Marker1,radar_group6:Marker1,radar_group6:Marker1,radar_group6:Marker2,radar_group6:Marker2,radar_group6:Marker2,radar_group6:Marker3,radar_group6:Marker3,radar_group6:Marker3
,ID,"46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","112BA0","112BA0","112BA0","112BD0","112BD0","112BD0","112870","112870","112870","112BC0","112BC0","112BC0","112C20","112C20","112C20","112C40","112C40","112C40","112C60","112C60","112C60","112C70","112C70","112C70","112CB0","112CB0","112CB0","112CD0","112CD0","112CD0","112620","112620","112620","112650","112650","112650","18EEFB02AE5111E97C158CA05683D95","18EEFB02AE5111E97C158CA05683D95","18EEFB02AE5111E97C158CA05683D95"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
47,0.130556,-0.000202,-0.000551,-0.001689,-0.999998,-5.051256,1.793749,0.666809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954337,1.784421,0.786262,-4.958744,1.783541,0.547484,-5.241312,1.812177,0.666106
48,0.133333,0.000422,-0.000286,-0.001101,-0.999999,-5.051246,1.793664,0.666748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954320,1.784439,0.786248,-4.958815,1.791298,0.545204,-5.241279,1.812314,0.665920
49,0.136111,0.001353,0.000182,-0.000973,-0.999999,-5.051162,1.793831,0.666598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954608,1.784738,0.786011,-4.958933,1.790981,0.545856,-5.241190,1.812528,0.665557
50,0.138889,0.001339,0.000002,-0.001227,-0.999998,-5.051298,1.793781,0.666630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954614,1.784739,0.786014,-4.958850,1.791329,0.545191,-5.241335,1.812381,0.665658
51,0.141667,-0.002302,-0.000986,-0.002908,-0.999993,-5.051276,1.793948,0.666992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954365,1.784395,0.786250,-4.958420,1.785047,0.549030,-5.240765,1.812757,0.666656
52,0.144444,-0.003134,-0.001053,-0.007493,-0.999967,-5.051582,1.793681,0.667067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954599,1.784768,0.785981,-4.958202,1.784548,0.548185,-5.241839,1.809906,0.666658
53,0.147222,-0.002670,-0.001763,-0.007503,-0.999967,-5.051655,1.793554,0.667194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954607,1.784736,0.785981,-4.958818,1.791285,0.545214,-5.241913,1.809773,0.667038
54,0.150000,-0.002757,-0.003531,-0.009450,-0.999945,-5.051455,1.793378,0.667581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954390,1.784389,0.786290,-4.958529,1.783934,0.547739,-5.241774,1.808855,0.668098
55,0.152778,-0.002804,-0.003188,-0.010020,-0.999941,-5.051508,1.793209,0.667750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954601,1.784702,0.786007,-4.959136,1.791395,0.545278,-5.241846,1.808469,0.668138
56,0.155556,-0.001179,0.000334,-0.002199,-0.999997,-5.051200,1.793791,0.666730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954311,1.784404,0.786274,-4.958277,1.785801,0.550147,-5.240646,1.812107,0.665763
