Format Version,1.23,Take Name,team6_final_trial_003,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-08-04 10.40.44.031 AM,Total Frames in Take,9988,Total Exported Frames,9988,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
51,0.141667,0.025358,-0.017136,-0.004384,0.999522,1.805041,1.046410,3.997659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.898019,1.047181,4.029586,1.813089,1.047541,3.952507,1.705687,1.043124,4.010925
52,0.144444,0.021791,-0.017169,-0.003057,0.999610,1.805090,1.046542,3.997674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897963,1.047107,4.029613,1.813045,1.047330,3.952492,1.705743,1.043100,4.010955
53,0.147222,0.022159,-0.018145,-0.001440,0.999589,1.805156,1.046880,3.997918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897998,1.047208,4.029619,1.812146,1.047997,3.952677,1.705795,1.043111,4.010995
54,0.150000,0.023612,-0.018716,-0.003358,0.999540,1.805185,1.046452,3.997964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897963,1.047203,4.029624,1.813120,1.047469,3.952505,1.705796,1.043023,4.010925
55,0.152778,0.020813,-0.017752,-0.002390,0.999623,1.805019,1.046664,3.997769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897979,1.047123,4.029584,1.813003,1.047395,3.952486,1.705661,1.043122,4.010939
56,0.155556,0.024644,-0.017167,-0.004626,0.999538,1.805021,1.046337,3.997668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.898013,1.046993,4.029578,1.813014,1.047300,3.952517,1.705315,1.042967,4.010872
57,0.158333,0.012732,-0.010684,-0.012362,0.999785,1.805685,1.047296,3.998852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897990,1.047116,4.029612,1.813045,1.047511,3.952524,1.707067,1.045599,4.015304
58,0.161111,-0.001215,-0.010429,-0.017713,0.999788,1.805412,1.048379,3.999170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897981,1.047025,4.029597,1.812999,1.047340,3.952487,1.706216,1.048535,4.013941
59,0.163889,0.008391,-0.010585,-0.014613,0.999802,1.805648,1.047536,3.998897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897962,1.047065,4.029636,1.813051,1.047239,3.952500,1.707062,1.045651,4.015347
60,0.166667,0.018030,-0.013318,-0.011070,0.999687,1.805444,1.047037,3.998374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897962,1.047011,4.029621,1.813119,1.047599,3.952542,1.706167,1.045282,4.012475
61,0.169444,0.012481,-0.010012,-0.015833,0.999747,1.805535,1.047374,3.998826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897964,1.047011,4.029616,1.813007,1.047502,3.952526,1.707016,1.045644,4.015325
62,0.172222,0.007668,-0.009678,-0.018359,0.999755,1.805595,1.047773,3.998904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.898013,1.047152,4.029610,1.813121,1.047418,3.952509,1.706417,1.047774,4.013793
63,0.175000,0.002623,-0.011807,-0.014715,0.999819,1.805543,1.048266,3.998932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897940,1.047191,4.029626,1.813020,1.047480,3.952487,1.706307,1.047707,4.013416
64,0.177778,0.006455,-0.012441,-0.011368,0.999837,1.805521,1.047895,3.998843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897970,1.047108,4.029627,1.813016,1.047459,3.952503,1.706271,1.046554,4.013180
